"Modell","log_likelihood","df","BIC","ABIC","CAIC","likelihood_ratio"
"Modell 1",-248925.77651144,22770,498393.473689096,498221.863513911,498447.473689096,117443.252990708
"Model 2",-233802.326468041,22715,468698.529836407,468352.13151983,468807.529836407,87196.3529039102
"Model 3",-229534.021087397,22660,460713.875309229,460192.68885126,460877.875309229,78659.7421426233
"Model 4",-227273.183329779,22605,456744.156028103,456048.181428742,456963.156028103,74138.0666273879
"Model 5",-225807.124481717,22550,454363.994566087,453493.231825334,454637.994566087,71205.9489312633
"Model 6",-224729.176108016,22495,452760.054052794,451714.503170649,453089.054052794,69050.0521838611
"Model 7",-223903.042231323,22440,451659.742533518,450439.403509981,452043.742533518,67397.7844304759
"Model 8",-223188.272255546,22385,450782.158816071,449387.031651142,451221.158816071,65968.24447892
"Model 9",-222766.249746171,22330,450490.070031431,448920.15472511,450984.070031431,65124.199460171
"Model 10",-222404.229144394,22275,450317.985061986,448573.281614273,450866.985061986,64400.1582566168
"Model 11",-222121.930935837,22220,450305.344878982,448385.853289877,450909.344878982,63835.5618395036
"Model 12",-221852.54981052,22165,450318.538862457,448224.25913196,450977.538862457,63296.799588869
"Model 13",-221638.477056613,22110,450442.349588751,448173.281716862,451156.349588751,62868.6540810544
