"class","variable","value"
"class_1","tax",6.7934382718742
"class_2","tax",5.37977808504592
"class_3","tax",6.66117326537177
"class_1","religion",1.85732182280086
"class_2","religion",5.20008943930355
"class_3","religion",3.6180656735136
"class_1","free_election",9.74285081244897
"class_2","free_election",5.99618113007183
"class_3","free_election",8.25925815454942
"class_1","state_aid",8.62555687398712
"class_2","state_aid",5.75646742637561
"class_3","state_aid",8.06251620745558
"class_1","Army",1.73764146279083
"class_2","Army",4.81727976014268
"class_3","Army",2.76604120336723
"class_1","civil_rights",9.31349213963609
"class_2","civil_rights",5.46404338250246
"class_3","civil_rights",7.65871811703932
"class_1","women",8.21815637891026
"class_2","women",5.58802388264853
"class_3","women",7.48052744050785
